,WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
144,łódzkie,US,Drugi Urząd Skarbowy Łódź - Bałuty,91-222,Łódź,Św. Teresy od Dzieciątka Jezus ,105,Łódź,22 460 59 94,(42) 253-42-50,2us.lodz.baluty@mf.gov.pl,1009,www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-baluty
145,łódzkie,US,Pierwszy Urząd Skarbowy Łódź - Górna,93-578,Łódź,Walerego Wróblewskiego ,10,Łódź,22 460 59 94,-,1us.lodz.gorna@mf.gov.pl,1010,www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-gorna
146,łódzkie,US,Drugi Urząd Skarbowy Łódź - Górna,93-578,Łódź,Walerego Wróblewskiego,10A,Łódź,22 460 59 94,(42) 258-82-83,2us.lodz.gorna@mf.gov.pl,1011,www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-gorna
147,łódzkie,US,Urząd Skarbowy Łódź - Polesie,90-646 ,Łódź,6 Sierpnia ,86A,Łódź,22 460 59 94,(42) 254-62-51,us.lodz.polesie@mf.gov.pl,1012,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-polesie
148,łódzkie,US,Urząd Skarbowy Łódź - Śródmieście,90-019,Łódź,Dowborczyków ,9/11,Łódź,22 460 59 94,(42) 253-07-01,us.lodz.srodmiescie@mf.gov.pl,1013,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-srodmiescie
149,łódzkie,US,Urząd Skarbowy Łódź - Widzew,92-312,Łódź,Papiernicza,7,Łódź,22 460 59 94,(42) 275-09-08,us.lodz.widzew@mf.gov.pl,1014,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-widzew
150,łódzkie,US,Urząd Skarbowy w Opocznie,26-300,Opoczno,Piotrkowska ,14,Opoczno,22 460 59 94,-,us.opoczno@mf.gov.pl,1015,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-opocznie
151,łódzkie,US,Urząd Skarbowy w Pabianicach,95-200,Pabianice,Zamkowa ,26,Pabianice,22 460 59 94,(42) 27-04-103,us.pabianice@mf.gov.pl,1016,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pabianicach
152,łódzkie,US,Urząd Skarbowy w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Wronia ,65,Piotrków Trybunalski,22 460 59 94,(44) 649-90-36,us.piotrkow-trybunalski@mf.gov.pl,1017,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-piotrkowie-trybunalskim
153,łódzkie,US,Urząd Skarbowy w Poddębicach,99-200,Poddębice,Narutowicza ,12,Poddębice,22 460 59 94,(43) 678-77-01,us.poddebice@mf.gov.pl,1018,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-poddebicach
154,łódzkie,US,Urząd Skarbowy w Radomsku,97-500,Radomsko,Mickiewicza ,4,Radomsko,22 460 59 94,(44) 685-49-74,us.radomsko@mf.gov.pl,1019,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-radomsku
155,łódzkie,US,Urząd Skarbowy w Rawie Mazowieckiej,96-200,Rawa Mazowiecka,Juliusza Słowackiego ,4,Rawa Mazowiecka,22 460 59 94,-,us.rawa-mazowiecka@mf.gov.pl,1020,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-rawie-mazowieckiej
156,łódzkie,US,Urząd Skarbowy w Sieradzu,98-200,Sieradz,Spółdzielcza ,3,Sieradz,22 460 59 94,-,us.sieradz@mf.gov.pl,1021,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-sieradzu
157,łódzkie,US,Urząd Skarbowy w Skierniewicach,96-100,Skierniewice,Czerwona ,22,Skierniewice,22 460 59 94,(46) 834-63-94,us.skierniewice@mf.gov.pl,1022,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-skierniewicach
158,łódzkie,US,Urząd Skarbowy w Tomaszowie Mazowieckim,97-200,Tomaszów Mazowiecki,Mireckiego ,37,Tomaszów Mazowiecki,22 460 59 94,(44) 724-23-26,us.tomaszow-mazowiecki@mf.gov.pl,1023,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-mazowieckim
159,łódzkie,US,Urząd Skarbowy w Wieluniu,98-300 ,Wieluń,Krakowskie Przedmieście ,34,Wieluń,22 460 59 94,-,us.wielun@mf.gov.pl,1024,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieluniu
160,łódzkie,US,Urząd Skarbowy w Zduńskiej Woli,98-220,Zduńska Wola,Zielona ,15,Zduńska Wola,22 460 59 94,(43) 824-19-40,us.zdunska-wola@mf.gov.pl,1025,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zdunskiej-woli
161,łódzkie,US,Urząd Skarbowy w Zgierzu,95-100 ,Zgierz,ks. Jerzego Popiełuszki ,8,Zgierz,22 460 59 94,(42) 270-10-01,us.zgierz@mf.gov.pl,1026,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zgierzu
162,łódzkie,US,Urząd Skarbowy w Wieruszowie,98-400,Wieruszów,Rynek ,12/13,Wieruszów,22 460 59 94,(62) 78-31-978,us.wieruszow@mf.gov.pl,1027,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieruszowie
163,łódzkie,US,Urząd Skarbowy w Łęczycy,99-100,Łęczyca,al. Jana Pawła II ,17,Łęczyca,(24) 721-70-12,(24) 721-23-12,us.leczyca@mf.gov.pl,1028,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-leczycy
164,łódzkie,US,Urząd Skarbowy w Pajęcznie,98-330,Pajęczno,1 Maja ,9,Pajęczno,22 460 59 94,(34) 311-33-55,us.pajeczno@mf.gov.pl,1029,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pajecznie
174,małopolskie,US,Urząd Skarbowy w Bochni,32-700,Bochnia,Gołębia ,3,Bochnia,(22) 460-59-92,(14) 615-26-53 ,us.bochnia@mf.gov.pl,1202,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-bochni
175,małopolskie,US,Urząd Skarbowy w Brzesku,32-800,Brzesko,Królowej Jadwigi ,16,Brzesko,(22) 460-59-92,(14) 663-08-42,us.brzesko@mf.gov.pl,1203,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-brzesku
176,małopolskie,US,Urząd Skarbowy w Chrzanowie,32-500,Chrzanów,Garncarska ,9,Chrzanów,(22) 460-59-92,(32) 627-62-62,us.chrzanow@mf.gov.pl,1204,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-chrzanowie
177,małopolskie,US,Urząd Skarbowy w Dąbrowie Tarnowskiej,33-200,Dąbrowa Tarnowska,Berka Joselewicza ,5,Dąbrowa Tarnowska,(22) 460-59-92,(14) 642-55-31,us.dabrowa-tarnowska@mf.gov.pl,1205,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-dabrowie-tarnowskiej
178,małopolskie,US,Urząd Skarbowy w Gorlicach,38-300,Gorlice,Bardiowska ,9,Gorlice,(22) 460-59-92,(18) 545-02-05,us.gorlice@mf.gov.pl,1206,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-gorlicach
179,małopolskie,US,Pierwszy Urząd Skarbowy Kraków,30-363,Kraków,Rzemieślnicza ,20,Kraków,(22) 460-59-92,(12) 384-63-00 ,1us.krakow@mf.gov.pl,1207,www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-krakow
180,małopolskie,US,Urząd Skarbowy Kraków - Krowodrza,30-016,Kraków,Władysława Łokietka,20,Kraków,(22) 460-59-92,(12) 665-61-36,us.krakow.krowodrza@mf.gov.pl,1208,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-krowodrza
181,małopolskie,US,Urząd Skarbowy Kraków - Nowa Huta,31-621,Kraków,os. Bohaterów Września ,80,Kraków,(22) 460-59-92,(12) 647-92-22 ,us.krakow.nowa-huta@mf.gov.pl,1209,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-nowa-huta
182,małopolskie,US,Urząd Skarbowy Kraków - Podgórze,30-415,Kraków,Wadowicka ,10,Kraków,(22) 460-59-92,(12) 267-40-91,us.krakow.podgorze@mf.gov.pl,1210,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-podgorze
183,małopolskie,US,Urząd Skarbowy Kraków - Prądnik,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(22) 460-59-92,(12) 665-67-51,us.krakow.pradnik@mf.gov.pl,1211,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-pradnik
184,małopolskie,US,Urząd Skarbowy Kraków - Stare Miasto,31-001,Kraków,Grodzka ,65,Kraków,(22) 460-59-92,(12) 293-82-66,us.krakow.stare-miasto@mf.gov.pl,1212,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-stare-miasto
185,małopolskie,US,Urząd Skarbowy Kraków - Śródmieście,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(22) 460-59-92,(12) 634-34-24,us.krakow.srodmiescie@mf.gov.pl,1213,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-srodmiescie
186,małopolskie,US,Urząd Skarbowy w Limanowej,34-600,Limanowa,Matki Boskiej Bolesnej ,9,Limanowa,(22) 460-59-92,(18) 337-93-08,us.limanowa@mf.gov.pl,1214,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-limanowej
187,małopolskie,US,Urząd Skarbowy w Miechowie,32-200,Miechów,Stanisławy Daneckiej ,1,Miechów,(22) 460-59-92,(41) 382-23-41,us.miechów@mf.gov.pl,1215,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-miechowie
188,małopolskie,US,Urząd Skarbowy w Myślenicach,32-400,Myślenice,Hipolita Cegielskiego ,2,Myślenice,(22) 460-59-92,(12) 272-41-00; (12) 272-41-11,us.myslenice@mf.gov.pl,1216,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-myslenicach
189,małopolskie,US,Urząd Skarbowy w Nowym Sączu,33-300 ,Nowy Sącz,Władysława Barbackiego  ,10,Nowy Sącz,(22) 460-59-92,(18) 547-38-01,us.nowy-sacz@mf.gov.pl,1217,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-saczu
190,małopolskie,US,Urząd Skarbowy w Nowym Targu,34-400,Nowy Targ,Parkowa ,13,Nowy Targ,(22) 460-59-92,(18) 266-29-33,us.nowy-targ@mf.gov.pl,1218,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-targu
191,małopolskie,US,Urząd Skarbowy w Olkuszu,32-300,Olkusz,Budowlanych ,2,Olkusz,(22) 460-59-92,(32) 641-38-14,us.olkusz@mf.gov.pl,1219,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-olkuszu
192,małopolskie,US,Urząd Skarbowy w Oświęcimiu,32-600,Oświęcim,Plebańska ,2,Oświęcim,(22) 460-59-92,(33) 846-64-41,us.oswiecim@mf.gov.pl,1220,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-oswiecimiu
193,małopolskie,US,Urząd Skarbowy w Proszowicach,32-100,Proszowice,Mikołaja Reja ,1,Proszowice,(22) 460-59-92,-,us.proszowice@mf.gov.pl,1221,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-proszowicach
194,małopolskie,US,Urząd Skarbowy w Suchej Beskidzkiej,34-200,Sucha Beskidzka,Adama Mickiewicza ,36,Sucha Beskidzka,(22) 460-59-92,(33) 874-35-29,us.sucha-beskidzka@mf.gov.pl,1222,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-suchej-beskidzkiej
195,małopolskie,US,Pierwszy Urząd Skarbowy w Tarnowie,33-100,Tarnów,Lwowska ,72-96A,Tarnów,(22) 460-59-92,(14) 630-23-10,1us.tarnow@mf.gov.pl,1223,www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-tarnowie
196,małopolskie,US,Drugi Urząd Skarbowy w Tarnowie ,33-100,Tarnów,Al.Solidarności ,5-9B,Tarnów,(22) 460-59-92,(14) 632-82-22,2us.tarnow@mf.gov.pl,1224,www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-w-tarnowie
197,małopolskie,US,Urząd Skarbowy w Wadowicach,34-100,Wadowice,Legionów ,22,Wadowice,(22) 460-59-92,(33) 873-26-10,us.wadowice@mf.gov.pl,1225,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wadowicach
198,małopolskie,US,Urząd Skarbowy w Wieliczce,32-020,Wieliczka,Zamkowa ,2,Wieliczka,(22) 460-59-92,(12) 279-86-66,us.wieliczka@mf.gov.pl,1226,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wieliczce
199,małopolskie,US,Urząd Skarbowy w Zakopanem,34-500,Zakopane,Szymony ,14,Zakopane,(22) 460-59-92,(18) 202-15-83,us.zakopane@mf.gov.pl,1227,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-zakopanem
200,małopolskie,US,Drugi Urząd Skarbowy Kraków,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(22) 460-59-92,(12) 631-54-50,2us.krakow@mf.gov.pl,1228,www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-krakow
210,mazowieckie,US,Urząd Skarbowy w Białobrzegach,26-800,Białobrzegi,Władysława Stanisława Reymonta,46,Białobrzegi,(48) 613-29-92; (48) 613-24-01,(48) 613-28-92,us.bialobrzegi@mf.gov.pl,1402,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-bialobrzegach
211,mazowieckie,US,Urząd Skarbowy w Ciechanowie,06-400,Ciechanów,Warszawska ,58,Ciechanów,(23) 674-19-00,(23) 674-19-03,us.ciechanow@mf.gov.pl,1403,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ciechanowie
212,mazowieckie,US,Urząd Skarbowy w Garwolinie,08-400,Garwolin,Senatorska ,30,Garwolin,"(25) 682-39-30, (25) 682-38-54, (25) 682-36-47",(25) 682-38-28,us.garwolin@mf.gov.pl,1404,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-garwolinie
213,mazowieckie,US,Urząd Skarbowy w Gostyninie,09-500,Gostynin,Płocka ,10,Gostynin,(24) 235-89-74,(24) 235-69-51,us.gostynin@mf.gov.pl,1405,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-gostyninie
214,mazowieckie,US,Urząd Skarbowy w Grodzisku Mazowieckim,05-825,Grodzisk Mazowiecki,Daleka,22,Grodzisk Mazowiecki,(22) 356-75-90,(22) 356-75-03,us.grodzisk-mazowiecki@mf.gov.pl,1406,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grodzisku-mazowieckim
215,mazowieckie,US,Urząd Skarbowy w Grójcu,05-600,Grójec,Ks. Piotra Skargi ,35,Grójec,(48) 665-09-00; (48) 665-09-95 - informacja podatkowa,(48) 665-09-03,us.grojec@mf.gov.pl,1407,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grojcu
216,mazowieckie,US,Urząd Skarbowy w Kozienicach,26-900,Kozienice,Parkowa ,5,Kozienice,"(48) 611-22-59,  (48) 614-28-87, (48) 614-28-88",(48) 614-28-33,us.kozienice@mf.gov.pl,1408,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-kozienicach
217,mazowieckie,US,Urząd Skarbowy w Legionowie,05-120,Legionowo,Marszałka Józefa Piłsudskiego,43C,Legionowo,(22) 768-66-00,-,us.legionowo@mf.gov.pl,1409,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-legionowie
218,mazowieckie,US,Urząd Skarbowy w Łosicach,08-200,Łosice,11 Listopada ,1,Łosice,(83) 359-00-32,(83) 357-34-41,us.losice@mf.gov.pl,1410,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-losicach
219,mazowieckie,US,Urząd Skarbowy w Makowie Mazowieckim,06-200,Maków Mazowiecki,Kopernika ,6C,Maków Mazowiecki,(29) 765-07-00,-,us.makow-mazowiecki@mf.gov.pl,1411,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-makowie-mazowieckim
220,mazowieckie,US,Urząd Skarbowy w Mińsku Mazowieckim,05-300,Mińsk Mazowiecki,Szczecińska ,2,Mińsk Mazowiecki,(25) 759-51-00,(25) 75-83-071,us.minsk-mazowiecki@mf.gov.pl,1412,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-minsku-mazowieckim
221,mazowieckie,US,Urząd Skarbowy w Mławie,06-500,Mława,Gabriela Narutowicza ,19/7,Mława,(23) 654-34-98,(23) 655-14-38,us.mlawa@mf.gov.pl,1413,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-mlawie
222,mazowieckie,US,Urząd Skarbowy w Nowym Dworze Mazowieckim,05-100,Nowy Dwór Mazowiecki,Legionów ,7,Nowy Dwór Mazowiecki,(22) 765-90-40,(22) 765-90-99,us.nowydwor-mazowiecki@mf.gov.pl,1414,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-nowym-dworze-mazowieckim
223,mazowieckie,US,Urząd Skarbowy w Ostrołęce,07-410,Ostrołęka,Przechodnia ,6,Ostrołęka,(29) 746-41-00,(29) 746-41-03,us.ostroleka@mf.gov.pl,1415,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrolece
224,mazowieckie,US,Urząd Skarbowy w Ostrowi Mazowieckiej,07-300,Ostrów Mazowiecka,Stanisława Duboisa ,1,Ostrów Mazowiecka,"(29) 645-20-00,  (29) 645-20-80",-,us.ostrow-mazowiecka@mf.gov.pl,1416,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrowi-mazowieckiej
225,mazowieckie,US,Urząd Skarbowy w Otwocku,05-400,Otwock,Jana Matejki ,4,Otwock,(22) 778-23-01,(22) 778-23-08,us.otwock@mf.gov.pl,1417,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-otwocku
226,mazowieckie,US,Urząd Skarbowy w Piasecznie,05-500,Piaseczno,Energetyczna ,5,Piaseczno,(22) 726-67-00,(22) 726-68-54,us.piaseczno@mf.gov.pl,1418,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-piasecznie
227,mazowieckie,US,Urząd Skarbowy w Płocku,09-402,Płock,1 Maja ,10,Płock,(24) 361-65-00,(24) 361-65-45,us.plock@mf.gov.pl,1419,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plocku
228,mazowieckie,US,Urząd Skarbowy w Płońsku,09-100,Płońsk,Spółdzielcza ,2,Płońsk,(23) 662-04-00,(23) 662-04-04,us.plonsk@mf.gov.pl,1420,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plonsku
229,mazowieckie,US,Urząd Skarbowy w Pruszkowie,05-800,Pruszków,Stanisława Staszica ,1,Pruszków,"(22) 738-09-00, (22) 738-08-25","(22) 738-07-77, (22) 738-07-76",us.pruszkow@mf.gov.pl,1421,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pruszkowie
230,mazowieckie,US,Urząd Skarbowy w Przasnyszu,06-300,Przasnysz,Świerkowa ,3,Przasnysz,(29) 752-26-62,(29) 756-45-08 wew. 303; (29) 752 26 62 wew. 303,us.przasnysz@mf.gov.pl,1422,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przasnyszu
231,mazowieckie,US,Urząd Skarbowy w Pułtusku,06-100,Pułtusk,Żwirki i Wigury ,7,Pułtusk,(23) 692-01-12; (23) 692-55-69; (23) 692-52-64; (23) 692-54-10,(23) 692-13-34,us.pultusk@mf.gov.pl,1423,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pultusku
232,mazowieckie,US,Pierwszy Urząd Skarbowy w Radomiu,26-615,Radom,Stanisława Zbrowskiego ,106,Radom,(48) 368-14-00; (48) 368-14-03,(48) 368-14-98,1us.radom@mf.gov.pl,1424,www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-w-radomiu
233,mazowieckie,US,Drugi Urząd Skarbowy w Radomiu,26-600,Radom,Toruńska ,3,Radom,(48) 385-31-00; (48) 385-31-38,-,2us.radom@mf.gov.pl,1425,www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-w-radomiu
234,mazowieckie,US,Urząd Skarbowy w Siedlcach,08-110,Siedlce,Bp. Ignacego Świrskiego,45,Siedlce,"(25) 632-87-20, (25) 632-48-80, (25) 644-18-50",(25) 633-15-25,us.siedlce@mf.gov.pl,1426,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-siedlcach
235,mazowieckie,US,Urząd Skarbowy w Sierpcu,09-200,Sierpc,Piastowska ,48,Sierpc,(24) 275-21-08,(24) 275-38-77,us.sierpc@mf.gov.pl,1427,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sierpcu
236,mazowieckie,US,Urząd Skarbowy w Sochaczewie,96-500,Sochaczew,Władysława Grabskiego ,4,Sochaczew,"(46) 862-26-04, (46) 862-21-18",(46) 862-26-03,us.sochaczew@mf.gov.pl,1428,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sochaczewie
237,mazowieckie,US,Urząd Skarbowy w Sokołowie Podlaskim,08-300,Sokołów Podlaski,Węgrowska ,5,Sokołów Podlaski,(25) 781-27-61; (25) 781-21-01; (25) 781-26-75; (25) 787-73-07,(25) 781-27-61 w.130,us.sokolow-podlaski@mf.gov.pl,1429,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sokolowie-podlaskim
238,mazowieckie,US,Urząd Skarbowy w Szydłowcu,26-500,Szydłowiec,Widok ,6,Szydłowiec,(48) 617-00-81; (48) 617-63-17; (48) 617-63-18,(48) 617 04 60; (48) 617 63 16,us.szydlowiec@mf.gov.pl,1430,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-szydlowcu
239,mazowieckie,US,Urząd Skarbowy Warszawa - Bemowo,02-325,Warszawa,Białobrzeska ,53A,Warszawa,(22) 570-88-00,(22) 570-88-60,us.warszawa.bemowo@mf.gov.pl,1431,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bemowo
240,mazowieckie,US,Urząd Skarbowy Warszawa - Bielany,01-844,Warszawa,Skalbmierska ,5,Warszawa,(22) 569-32-00,(22) 56-93-375,us.warszawa.bielany@mf.gov.pl,1432,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bielany
241,mazowieckie,US,Urząd Skarbowy Warszawa - Mokotów,02-676,Warszawa,Postępu ,16A,Warszawa,"(22) 502-00-00, (22) 502-02-15",-,us.warszawa.mokotow@mf.gov.pl,1433,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-mokotow
242,mazowieckie,US,Urząd Skarbowy Warszawa - Praga,03-719,Warszawa,Jagiellońska ,15,Warszawa,(22) 509 18 00; (22) 509 18 01,(22) 509-19-90,us.warszawa.praga@mf.gov.pl,1434,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-praga
243,mazowieckie,US,Pierwszy Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya ,14,Warszawa,(22) 584-61-00; (22) 584-61-06,"(22) 584-61-90,",1us.warszawa.srodmiescie@mf.gov.pl,1435,www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-warszawa-srodmiescie
244,mazowieckie,US,Drugi Urząd Skarbowy Warszawa - Śródmieście,03-719,Warszawa,Jagiellońska ,15,Warszawa,(22) 511-35-01,(22) 511-35-02,2us.warszawa.srodmiescie@mf.gov.pl,1436,www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-warszawa-srodmiescie
245,mazowieckie,US,Urząd Skarbowy Warszawa - Targówek,03-484,Warszawa,Dąbrowszczaków,14,Warszawa,(22) 511-76-00,(22) 619-11-04,us.warszawa.targowek@mf.gov.pl,1437,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-targowek
246,mazowieckie,US,Urząd Skarbowy Warszawa - Ursynów,02-677,Warszawa,Wynalazek ,3,Warszawa,"(22) 548-68-00,",-,us.warszawa.ursynow@mf.gov.pl,1438,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-ursynow
247,mazowieckie,US,Urząd Skarbowy Warszawa - Wawer,04-379,Warszawa,Ludwika Mycielskiego ,21,Warszawa,(22) 50 94 100,(22) 870-57-19,us.warszawa.wawer@mf.gov.pl,1439,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wawer
248,mazowieckie,US,Urząd Skarbowy Warszawa - Wola,01-381,Warszawa,Powstańców Śląskich ,2D,Warszawa,(22) 533-66-00,(22) 533-66-15,us.warszawa.wola@mf.gov.pl,1440,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wola
249,mazowieckie,US,Urząd Skarbowy w Węgrowie,07-100,Węgrów,Obrębowa,17,Węgrów,(25) 785-96-00,-,us.wegrow@mf.gov.pl,1441,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wegrowie
250,mazowieckie,US,Urząd Skarbowy w Wołominie ,05-200,Wołomin,Przejazd ,2,Wołomin,"(22) 787-75-82, (22) 787-75-83,  (22) 787-75-84",(22) 787-65-10,us.wolomin@mf.gov.pl,1442,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wolominie
251,mazowieckie,US,Urząd Skarbowy w Wyszkowie,07-200,Wyszków,Gen. Józefa Sowińskiego ,82,Wyszków,(29) 74 302 41 ,(29) 742-34-22,us.wyszkow@mf.gov.pl,1443,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wyszkowie
252,mazowieckie,US,Urząd Skarbowy w Zwoleniu,26-700,Zwoleń,Wojska Polskiego ,39,Zwoleń,"(48) 676-24-67, (48)  676-25-84",-,us.zwolen@mf.gov.pl,1444,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zwoleniu
253,mazowieckie,US,Urząd Skarbowy w Żurominie,09-300,Żuromin,Plac Józefa Piłsudskiego ,4,Żuromin,(23) 657-32-76; (23) 657-32-56; (23) 657-32-63,(23) 657-32-56 wew.127,us.zuromin@mf.gov.pl,1445,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zurominie
254,mazowieckie,US,Urząd Skarbowy w Żyrardowie,96-300,Żyrardów,1 Maja ,49A,Żyrardów,"(46) 855-35-56, (46) 855-22-37, (46) 855-41-98, (46) 855-36-53, (46) 855-35-70",(46) 855-35-56 wew.115,us.zyrardow@mf.gov.pl,1446,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zyrardowie
255,mazowieckie,US,Urząd Skarbowy w Lipsku,27-300,Lipsko,Solecka ,88,Lipsko,(48)  378 13 36,-,us.lipsko@mf.gov.pl,1447,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-lipsku
256,mazowieckie,US,Urząd Skarbowy w Przysusze,26-400,Przysucha,Szkolna ,7,Przysucha,(48) 675-20-76; (48) 675-20-77; (48) 675-20-78,(48) 675-20-75,us.przysucha@mf.gov.pl,1448,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przysusze
257,mazowieckie,US,Trzeci Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya ,14,Warszawa,(22) 584-51-00,(22) 58 45 312,3us.warszawa.srodmiescie@mf.gov.pl,1449,www.mazowieckie.kas.gov.pl/trzeci-urzad-skarbowy-warszawa-srodmiescie
276,opolskie,US,Urząd Skarbowy w Brzegu,49-305,Brzeg,Składowa ,2,Brzeg,(22) 460 59 95,77 400 52 02,us.brzeg@mf.gov.pl,1602,www.opolskie.kas.gov.pl/urzad-skarbowy-w-brzegu
